level_0,index,year,state,state_po,office,candidate,party,candidatevotes,totalvotes,democratvotes,republicanvotes,last_name,first_name,suffix,nickname,bioguide_id
50,50,1978,ALASKA,AK,US HOUSE,"YOUNG, Donald Edwin",REPUBLICAN,68811,124187,55176.0,68811.0,YOUNG,DONALD,,,Y000033
51,51,1978,ALABAMA,AL,US HOUSE,"BEVILL, Tom",DEMOCRAT,87380,87381,87380.0,71711.0,BEVILL,TOM,,,B000431
52,52,1978,ARKANSAS,AR,US HOUSE,"HAMMERSCHMIDT, John Paul",REPUBLICAN,130086,165834,62140.0,130086.0,HAMMERSCHMIDT,JOHN,,,H000124
53,53,1978,ARIZONA,AZ,US HOUSE,"STUMP, Robert Lee",DEMOCRAT,111850,131663,111850.0,90768.0,STUMP,ROBERT,,,S001044
54,54,1978,CALIFORNIA,CA,US HOUSE,"BURGENER, Clair Walter",REPUBLICAN,167150,243458,125122.0,167150.0,BURGENER,CLAIR,,,B001080
55,55,1978,COLORADO,CO,US HOUSE,"JOHNSON, James Paul (Jim)",REPUBLICAN,103121,168542,98889.0,103121.0,JOHNSON,JAMES,,JIM,J000148
56,56,1978,CONNECTICUT,CT,US HOUSE,"MOFFETT, Anthony John, Jr. (Toby)",DEMOCRAT,119537,186224,119537.0,88162.0,MOFFETT,ANTHONY,JR,TOBY,M000839
57,57,1978,DELAWARE,DE,US HOUSE,"EVANS, Thomas Beverley, Jr.",REPUBLICAN,91689,157566,64863.0,91689.0,EVANS,THOMAS,JR,,E000258
58,58,1978,FLORIDA,FL,US HOUSE,"YOUNG, Charles William (Bill)",REPUBLICAN,150694,191348,123346.0,150694.0,YOUNG,CHARLES,,BILL,Y000031
59,59,1978,GEORGIA,GA,US HOUSE,"LEVITAS, Elliott Harris",DEMOCRAT,60284,74513,60284.0,47078.0,LEVITAS,ELLIOTT,,,L000265
60,60,1978,HAWAII,HI,US HOUSE,"AKAKA, Daniel Kahikina",DEMOCRAT,118272,137957,118272.0,24470.0,AKAKA,DANIEL,,,A000069
61,61,1978,IOWA,IA,US HOUSE,"GRASSLEY, Charles Ernest",REPUBLICAN,103659,138539,88526.0,103659.0,GRASSLEY,CHARLES,,,G000386
62,62,1978,IDAHO,ID,US HOUSE,"SYMMS, Steven Douglas",REPUBLICAN,86680,144652,60040.0,86680.0,SYMMS,STEVEN,,,S001138
63,63,1978,ILLINOIS,IL,US HOUSE,"ERLENBORN, John Neal",REPUBLICAN,118741,158179,112365.0,118741.0,ERLENBORN,JOHN,,,E000204
64,64,1978,INDIANA,IN,US HOUSE,"HAMILTON, Lee Herbert",DEMOCRAT,99727,151945,99727.0,94950.0,HAMILTON,LEE,,,H000114
65,65,1978,KANSAS,KS,US HOUSE,"SEBELIUS, Keith George",REPUBLICAN,131037,131037,100139.0,131037.0,SEBELIUS,KEITH,,,S000217
66,66,1978,KENTUCKY,KY,US HOUSE,"SNYDER, Marion Gene",REPUBLICAN,62087,94299,51559.0,62087.0,SNYDER,MARION,,,S000669
67,67,1978,LOUISIANA,LA,US HOUSE,"LEACH, Anthony Claude, Jr.",DEMOCRAT,65583,130900,65583.0,65317.0,LEACH,ANTHONY,,BUDDY,L000167
68,68,1978,MASSACHUSETTS,MA,US HOUSE,"STUDDS, Gerry Eastman",DEMOCRAT,176704,176859,176704.0,131773.0,STUDDS,GERRY,,,S001040
69,69,1978,MARYLAND,MD,US HOUSE,"BYRON, Beverly Barton Butcher",DEMOCRAT,126196,140741,126196.0,80202.0,BYRON,BEVERLY,,,B001220
70,70,1978,MAINE,ME,US HOUSE,"EMERY, David Farnham",REPUBLICAN,120791,196485,70691.0,120791.0,EMERY,DAVID,,,E000175
71,71,1978,MICHIGAN,MI,US HOUSE,"VANDER JAGT, Guy Adrian",REPUBLICAN,122363,175819,113037.0,122363.0,VANDER JAGT,GUY,,,V000027
72,72,1978,MINNESOTA,MN,US HOUSE,"OBERSTAR, James Louis",DEMOCRAT,171125,196294,171125.0,145415.0,OBERSTAR,JAMES,,,O000006
73,73,1978,MISSOURI,MO,US HOUSE,"VOLKMER, Harold Lee",DEMOCRAT,135170,180965,135170.0,104566.0,VOLKMER,HAROLD,,,V000112
74,74,1978,MISSISSIPPI,MS,US HOUSE,"MONTGOMERY, Gillespie V. (Sonny)",DEMOCRAT,101685,110093,101685.0,97177.0,MONTGOMERY,GILLESPIE,,SONNY,M000865
75,75,1978,MONTANA,MT,US HOUSE,"WILLIAMS, John Patrick",DEMOCRAT,86016,150109,86016.0,75766.0,WILLIAMS,JOHN,,,W000520
76,76,1978,NORTH CAROLINA,NC,US HOUSE,"GUDGER, Vonno Lamar, Jr.",DEMOCRAT,75460,141292,75460.0,67004.0,GUDGER,VONNO,,,G000515
